snapshot_date,issuer,code,market,designation_date,status,release_date,source_type,source_note
2026-08-02,REVOLUTION,8894,Standard,2026-07-25,improving,,JPX,"Current Special Attention Security; designated after internal-control remediation was judged necessary"
2026-08-02,unbanked,8746,Standard,2026-05-26,improving,,JPX,"Current Special Attention Security"
2026-08-02,Air Water,4088,Prime,2026-05-01,improving,,JPX,"Current Special Attention Security"
2026-08-02,Abalance,3856,Standard,2026-01-31,improving,,JPX,"Current Special Attention Security"
2026-08-02,Tabikobo,6548,Growth,2025-11-22,improving,,JPX,"Current Special Attention Security"
2026-08-02,Tohshin Holdings,9444,Standard,2025-11-22,improving,,JPX,"Current Special Attention Security"
2026-08-02,Nidec,6594,Prime,2025-10-28,improving,,JPX,"Current Special Attention Security"
2026-08-02,ACCESS,4813,Prime,2025-08-27,improving,,JPX,"Current Special Attention Security"
